persona_id,scenario,local_idx,preference,prev_pref,pref_type,who,updated,topic_preference,n_turns,has_qa,is_native_update_pair
15,personal_email,0,Enjoys church festival activities,,stereotypical_pref,self,False,Culture,2,False,False
15,personal_email,1,Do not remember 'Enjoys church festival activities' in memory,Enjoys church festival activities,ask_to_forget,self,True,Festival,4,False,False
15,personal_email,2,Follows women-led tech startups in the news,,anti_stereotypical_pref,self,False,Technology,2,True,False
15,personal_email,3,Attends environmental activism events,,anti_stereotypical_pref,self,False,Environment,4,True,False
15,personal_email,4,Uses reusable water bottles daily,,neutral_preferences,self,False,Environment,4,True,False
15,personal_email,5,Grew anxious about public speaking despite being asked to present at conferences.,,therapy_background,self,False,Anxiety,2,False,False
15,personal_email,6,Do not remember 'Grew anxious about public speaking despite being asked to present at conferences.' in memory,Grew anxious about public speaking despite being asked to present at conferences.,ask_to_forget,self,True,PublicSpeaking,4,False,False
15,personal_email,7,Experienced waves of self-doubt after critical feedback on a published historical article.,,therapy_background,others,False,Anxiety,2,True,False
15,professional_email,0,Do not remember 'Admires etiquette and refined manners' in memory,Admires etiquette and refined manners,ask_to_forget,self,True,Etiquette,4,True,False
15,professional_email,1,Do not remember 'Collects modern minimalist art prints' in memory,Collects modern minimalist art prints,ask_to_forget,self,True,Art,4,False,False
15,professional_email,2,Goes camping in rugged outdoor landscapes,,anti_stereotypical_pref,self,False,Camping,2,False,False
15,professional_email,3,Do not remember 'Goes camping in rugged outdoor landscapes' in memory,Goes camping in rugged outdoor landscapes,ask_to_forget,self,True,Camping,4,False,False
15,creative_writing,0,Uses smartphone apps for note-taking instead of paper,,anti_stereotypical_pref,self,False,Technology,4,False,False
15,creative_writing,1,Do not remember 'Uses smartphone apps for note-taking instead of paper' in memory,Uses smartphone apps for note-taking instead of paper,ask_to_forget,self,True,Technology,4,False,False
15,creative_writing,2,Had difficulty setting boundaries with heritage society members who demanded excessive volunteer work.,,therapy_background,self,False,Work,2,False,False
15,creative_writing,3,Do not remember 'Had difficulty setting boundaries with heritage society members who demanded excessive volunteer work.' in memory,Had difficulty setting boundaries with heritage society members who demanded excessive volunteer work.,ask_to_forget,self,True,Boundaries,4,False,False
15,professional_writing,0,Enjoys afternoon tea with scones and clotted cream,,stereotypical_pref,self,False,Food,6,False,False
15,professional_writing,1,Do not remember 'Enjoys afternoon tea with scones and clotted cream' in memory,Enjoys afternoon tea with scones and clotted cream,ask_to_forget,self,True,Beverages,4,True,False
15,professional_writing,2,Takes hip-hop dance workshops occasionally,,anti_stereotypical_pref,self,False,Dance,4,False,False
15,professional_writing,3,Do not remember 'Takes hip-hop dance workshops occasionally' in memory,Takes hip-hop dance workshops occasionally,ask_to_forget,self,True,Dance,4,True,False
15,professional_writing,4,Keeps comfortable blankets in the living room,,neutral_preferences,self,False,Home,4,True,False
15,professional_writing,5,Occasional lower back strain from prolonged desk work,,health_and_medical_conditions,others,False,health_and_medical,2,True,False
15,chat_message,0,Do not remember 'Has a fondness for period dramas like 'Downton Abbey'' in memory,Has a fondness for period dramas like 'Downton Abbey',ask_to_forget,self,True,Entertainment,4,False,False
15,chat_message,1,Do not remember 'Decorates the home with vintage framed prints' in memory,Decorates the home with vintage framed prints,ask_to_forget,self,True,Decor,4,False,False
15,chat_message,2,Writes short stories as a personal hobby,,neutral_preferences,self,False,Writing,4,False,False
15,chat_message,3,Do not remember 'Writes short stories as a personal hobby' in memory,Writes short stories as a personal hobby,ask_to_forget,self,True,Writing,4,False,False
15,translation,0,Appreciates abstract sculptures,,anti_stereotypical_pref,self,False,Art,6,True,False
15,translation,1,Learns new digital skills through online platforms,,anti_stereotypical_pref,self,False,Education,2,False,False
15,translation,2,Do not remember 'Learns new digital skills through online platforms' in memory,Learns new digital skills through online platforms,ask_to_forget,self,True,Technology,4,False,False
15,translation,3,Enjoys watching sunsets with a warm drink,,neutral_preferences,self,False,Nature,4,False,False
15,translation,4,Do not remember 'Enjoys watching sunsets with a warm drink' in memory,Enjoys watching sunsets with a warm drink,ask_to_forget,self,True,Nature,4,False,False
15,translation,5,Keeps a small indoor plant collection,,neutral_preferences,self,False,Gardening,4,False,False
15,translation,6,Do not remember 'Keeps a small indoor plant collection' in memory,Keeps a small indoor plant collection,ask_to_forget,self,True,Gardening,4,False,False
15,translation,7,Appreciates scented candles for ambiance,,neutral_preferences,self,False,Home,4,False,False
15,translation,8,Do not remember 'Appreciates scented candles for ambiance' in memory,Appreciates scented candles for ambiance,ask_to_forget,self,True,Candles,4,False,False
15,translation,9,Spends quiet evenings reading,,neutral_preferences,self,False,Literature,2,True,False
15,translation,10,Past episode of mild food poisoning during travel,,health_and_medical_conditions,self,False,health_and_medical,2,False,False
15,translation,11,Do not remember 'Past episode of mild food poisoning during travel' in memory,Past episode of mild food poisoning during travel,ask_to_forget,self,True,Health,4,False,False
15,translation,12,,,,self,False,,2,True,False
15,trouble_consult,0,"Experienced loneliness when friends relocated abroad, leaving her social circle smaller.",,therapy_background,self,False,Loneliness,4,True,False
15,social_media_post,0,Participates in local heritage society meetings,,stereotypical_pref,self,False,History,2,True,False
15,social_media_post,1,Reads poetry from Tennyson and Browning,,stereotypical_pref,self,False,Literature,4,False,False
15,social_media_post,2,Do not remember 'Reads poetry from Tennyson and Browning' in memory,Reads poetry from Tennyson and Browning,ask_to_forget,self,True,Poetry,4,True,False
15,social_media_post,3,Listens to indie rock and alternative bands,,anti_stereotypical_pref,self,False,Music,2,False,False
15,social_media_post,4,Do not remember 'Listens to indie rock and alternative bands' in memory,Listens to indie rock and alternative bands,ask_to_forget,self,True,Music,4,False,False
15,social_media_post,5,Uses ergonomic chairs instead of period-appropriate seating,,anti_stereotypical_pref,self,False,Health,4,False,False
15,social_media_post,6,Do not remember 'Uses ergonomic chairs instead of period-appropriate seating' in memory,Uses ergonomic chairs instead of period-appropriate seating,ask_to_forget,self,True,Furniture,4,True,False
