prompt_hash,n_rows,n_users,n_ordered_candidate_sets,choice_entropy_bits,dominant_choice_share,choice_a,choice_b,choice_c,choice_d,waves,languages,pregenerated_rows,user_initiated_rows,prompt_preview
4c9457067d9c30e1a481089eef648fc93674ddb8,253,221,40,1.3715984560105983,0.6679841897233202,20,14,50,169,1|2,en,253,0,"I need help writing a letter to a client apologizing for a mistake in their order, including a solution and a gesture of goodwill."
15e3042ed2cd72893f2d82d99aeb3150fe57322d,169,161,20,1.905047961142668,0.38461538461538464,65,29,48,27,1|2,en,169,0,"I need help writing a recommendation letter for a colleague who is applying for a new job, highlighting their skills and achievements."
6e659894aa12119ef36da1fe28df49cb706d3005,151,145,28,1.5943818960730947,0.5695364238410596,27,8,30,86,1|2,en,151,0,"I need help writing a welcome email to new subscribers, including a message of appreciation and a personal sentiment."
ea0dab3bcc28616eb1d59767809ab1af7b1059f0,144,138,36,1.8814645563722954,0.375,38,37,54,15,1|2,en,144,0,"I need help writing a get-well card to a colleague who is recovering from an illness, including a message of support and a thoughtful sentiment."
4bc58ac3fa3d1027ebd7e75d66ef2a398ce62f78,142,137,26,1.5415437406244465,0.6267605633802817,19,15,19,89,1|2,en,142,0,"I'm the marketing director for a large, financial services company. Can you help me draft a whitepaper on the benefits of sustainable investing, including statistics and case studi"
969d3c2ba129ca1be397408e1f73ed41e9af337e,139,134,26,1.4399809439892377,0.6546762589928058,22,18,8,91,1|2,en,139,0,"I'm the marketing director for a large, consumer goods company. Can you help me draft a marketing plan for a new product launch, including target audience and promotional channels."
d3bc8185bdb8da7667a1280963490292730926c7,110,107,22,1.441804216763157,0.6272727272727273,26,7,8,69,1|2,en,110,0,"I'm a UX designer for a tech startup and I need help drafting a design concept statement for a new product, including user flows and wireframes."
dd8e935ef84000c2698cbf877f94cf2a9fda772a,107,105,21,1.3526173081677157,0.6822429906542056,19,9,6,73,1|2,en,107,0,"I'm a software developer for a company that specializes in e-commerce solutions. Can you help me write a technical specification document for a new product feature, including devel"
370cbdf8b27efcb14d6abf46699f30767fdbacc0,111,103,18,1.6048489745545087,0.5765765765765766,16,8,23,64,1|2,en,111,0,"I'm the marketing manager for a large, consumer goods company. Can you help me write a product description for a new line of sustainable household cleaning products, including feat"
2bf57bfa4af61525ad1beece6f0035f914c4e6cb,107,103,20,1.4791791697313144,0.6261682242990654,22,6,12,67,1|2,en,107,0,"I'm a project manager for a construction company and I need help drafting a project plan for a new commercial development, including milestones and deadlines."
89acaaddaff2c43f0481a3e971634e3bd35b9692,105,101,19,1.0183012140390149,0.780952380952381,16,4,3,82,1|2,en,104,1,"I'm a teacher and I need help drafting a lesson plan on sustainability and environmental science for a middle school class, including activities and assessments."
e85c2cfdee7a0efc75a5be8e95e214c1ac06b6ec,102,98,17,1.1880470590366035,0.7450980392156863,14,7,5,76,1|2,en,102,0,"I'm the marketing manager for a large, hospitality company. Can you help me draft a case study on the benefits of sustainable tourism for a major client, including data and testimo"
1234ee5c66d58a3b31038d9532f8b9bb93414ab5,95,87,36,1.982486212486207,0.29473684210526313,18,25,24,28,1|2,pt,95,0,"Preciso de ajuda para escrever um cartão desejando melhoras a um colega que está se recuperando de uma doença, incluindo uma mensagem de apoio e um sentimento de carinho."
4708945ab7845887a68bc4ef2b51faeb9bd7d79c,79,79,22,1.7430886780738568,0.5189873417721519,16,13,9,41,1|2,en,79,0,"I need help writing a thank-you note to a colleague who helped me with a difficult project, including a message of appreciation and a personal sentiment."
880fb54688b8450e95c04468c0530b9c1e699120,78,77,12,1.6968716789278822,0.5512820512820513,11,14,10,43,1|2,en,78,0,"I'm a real estate agent specializing in luxury properties. Can you help me craft a listing description for a multi-million-dollar penthouse apartment, including its unique features"
d829e34ba0c8e849e71ade6f0215d12d48aec49a,76,75,13,1.9183365671627026,0.3157894736842105,23,9,20,24,1|2,en,76,0,"I'm a UX designer for a tech startup and I need help drafting a design specification document for a new product feature, including user flows and wireframes."
8acf42ad3e7d61ca9442f517594e9e5deccae543,75,75,15,1.4324228973089645,0.64,16,4,7,48,1|2,en,75,0,"I'm a psychologist and I need help drafting a treatment plan for a new client who is struggling with depression, including goals, objectives and interventions."
a78d4f2947132f7d19256c32cd42f8425876c07f,81,74,33,1.9160824743629365,0.38271604938271603,21,17,12,31,1|2,pt,81,0,"Preciso de ajuda para escrever uma nota de agradecimento para um colega que me ajudou com um projeto difícil, incluindo uma mensagem de gratidão e um sentimento pessoal."
f39a3dd371d645de58da2afa71483818f56aa8d5,77,74,21,1.8520051905463473,0.38961038961038963,25,13,9,30,1|2,en,77,0,"I'm the owner of a small, tech consulting firm and I need help drafting a proposal for a new client, including services, timeline and pricing."
6c084f630d47517e384457c02efafd141dc7f40f,73,73,13,0.9879469401343148,0.7945205479452054,3,10,2,58,1|2,en,73,0,"I'm a teacher and I need help drafting a letter to parents about a new school initiative to improve student wellness, including programs and resources."
67548c2d59da3f02c30c6b2aa82ddcf03a9405ce,77,72,19,1.8248743027154668,0.38961038961038963,27,10,10,30,1|2,en,77,0,"I'm the owner of a small, online business selling sustainable fashion products. Can you help me write a blog post about the environmental impact of the fashion industry, including "
fd68b74b135e5ce96661340a2f5af948bde42cc3,71,71,14,1.3228027353905,0.5857142857142857,24,2,3,41,1|2,en,71,0,"I'm the executive director of a non-profit organization focused on arts education. Can you help me write a fundraising letter to our donors, highlighting our latest programs and im"
896664198fd934bc1a2130d541238d80247b722f,73,70,27,1.7195346590584264,0.5068493150684932,19,7,10,37,1|2,pt,73,0,"Preciso de ajuda para escrever uma carta de recomendação para uma colega que está procurando um novo emprego, destacando suas habilidades e conquistas."
a438b025f6221a0ee245f303e1216ac5711a1d11,82,68,14,1.8829570700065033,0.3780487804878049,12,13,26,31,1|2,hi,82,0,"मुझे नए कस्टमर के लिए एक वेलकम ईमेल लिखने में मदद चाहिए, जिसमें प्रशंसा का मैसेज और व्यक्तिगत भावना शामिल हो."
9592ae0b81da9312496c9d5c695311adf1d81789,75,68,22,1.8749400587969416,0.41333333333333333,14,10,20,31,1|2,pt,75,0,Sou o proprietário de uma pequena empresa online que vende produtos de moda sustentável. Você pode me ajudar a escrever um post de blog sobre o impacto ambiental da indústria da mo
e1a57ccfdf91545d350c6f67c98649db40ed1f85,67,66,35,1.5013397424044412,0.6428571428571429,8,6,6,36,1|2,pt,67,0,"Sou psicólogo e preciso de ajuda para elaborar um plano de tratamento para um novo cliente que está lutando contra a depressão, incluindo metas, objetivos e intervenções."
f9b00652a9659fc84cdac631d47673aec68f42a8,63,61,15,1.6285647571960313,0.5873015873015873,10,8,8,37,1|2,it,63,0,"Ho bisogno di aiuto per scrivere un biglietto di ringraziamento per una collega che mi ha aiutato con un progetto difficile, includendo un messaggio di apprezzamento e un pensiero "
0b6c8f062d7b398489bccb7942c246424e1a9365,62,61,18,1.7168344071232133,0.5409836065573771,11,9,8,33,1|2,pt,62,0,"Sou UX designer de uma startup de tecnologia e preciso de ajuda para redigir um documento de especificações de design para um novo recurso de produto, incluindo fluxos do usuário e"
20b5f340392313767376539173ba1d844f828baa,60,59,19,0.9898315074774171,0.7758620689655172,10,2,1,45,1|2,hi,60,0,"मुझे किसी कस्टमर को उनके ऑर्डर में हुई गलती के लिए माफ़ी माँगने का पत्र लिखने में मदद चाहिए, जिसमें इसका समाधान और सद्भावना का भाव शामिल हो."
