column,rows_seen,missing,missing_fraction
annotator_age,90256,3618,0.04008597766353483
annotator_country,90256,0,0.0
annotator_education_level,90256,2724,0.030180819003722745
annotator_ethnicity,90256,0,0.0
annotator_gender,90256,1881,0.02084071973054423
annotator_id,90256,0,0.0
annotator_political,90256,0,0.0
assigned_lang,90256,0,0.0
conversation_id,90256,0,0.0
first_turn_feedback,90256,51210,0.567386101755008
first_turn_preferred_response,90256,627,0.006946906576848076
first_turn_prompt,90256,0,0.0
first_turn_response_a,90256,21,0.00023267151214323702
first_turn_response_b,90256,21,0.00023267151214323702
first_turn_response_c,90256,23,0.00025483070377592626
first_turn_response_d,90256,27,0.00029914908704130474
first_turn_responses,90256,21,0.00023267151214323702
fourth_turn_feedback,90256,82171,0.9104214678248538
fourth_turn_preferred_response,90256,70655,0.7828288424038291
fourth_turn_prompt,90256,70488,0.7809785499024996
fourth_turn_response_a,90256,70502,0.7811336642439284
fourth_turn_response_b,90256,70500,0.7811115050522957
fourth_turn_response_c,90256,70544,0.7815990072682149
fourth_turn_response_d,90256,70623,0.7824742953377061
fourth_turn_responses,90256,70484,0.7809342315192341
in_balanced_subset,90256,0,0.0
in_balanced_subset_10,90256,0,0.0
is_pregenerated_first_prompt,90256,0,0.0
second_turn_feedback,90256,52057,0.5767705194114519
second_turn_preferred_response,90256,7018,0.07775660343910654
second_turn_prompt,90256,6457,0.07154095018613721
second_turn_response_a,90256,6473,0.07171822371919873
second_turn_response_b,90256,6472,0.07170714412338237
second_turn_response_c,90256,6576,0.07285942208828222
second_turn_response_d,90256,6742,0.07469863499379542
second_turn_responses,90256,6457,0.07154095018613721
third_turn_feedback,90256,71520,0.7924126927849672
third_turn_preferred_response,90256,49405,0.5473874313065059
third_turn_prompt,90256,49073,0.5437090054954795
third_turn_response_a,90256,49085,0.5438419606452757
third_turn_response_b,90256,49081,0.5437976422620103
third_turn_response_c,90256,49183,0.5449277610352774
third_turn_response_d,90256,49304,0.5462683921290551
third_turn_responses,90256,49073,0.5437090054954795
wave,90256,0,0.0
