persona_id,old_pref,new_pref,raw_file
644,Plays tennis instead of cricket,Plays cricket instead of tennis,data/raw_data/raw_data_250820_224501_persona644.json
626,Frequently visits museums and art galleries,Rarely visits museums and art galleries,data/raw_data/raw_data_250820_224501_persona626.json
314,Regularly supports local Black-owned businesses,Does not regularly support local Black-owned businesses,data/raw_data/raw_data_250815_163935_persona314.json
382,Likes visiting art galleries,Dislikes visiting art galleries,data/raw_data/raw_data_250818_011555_persona382.json
692,Likes listening to podcasts,Dislikes listening to podcasts,data/raw_data/raw_data_250820_224501_persona692.json
884,Enjoys craft beer tasting,Does not enjoy craft beer tasting,data/raw_data/raw_data_250825_220103_persona884.json
493,Mild gastritis episode resolved with dietary adjustments,Mild gastritis episode persisted despite dietary adjustments,data/raw_data/raw_data_250819_225921_persona493.json
668,Enjoys casual cycling around the city,Enjoys competitive cycling and racing,data/raw_data/raw_data_250820_224501_persona668.json
823,Follows European football (soccer),Does not follow European football (soccer),data/raw_data/raw_data_250820_224501_persona823.json
522,Regularly attends exclusive art gallery openings,Rarely attends exclusive art gallery openings,data/raw_data/raw_data_250819_225921_persona522.json
451,Borderline high cholesterol detected during routine screening,Normal cholesterol levels detected during routine screening,data/raw_data/raw_data_250818_011555_persona451.json
479,Collects small souvenir magnets from travels,Does not collect souvenir magnets from travels,data/raw_data/raw_data_250819_225921_persona479.json
977,Has a taste for olive oil-based skincare products,Has a taste for non-olive oil-based skincare products,data/raw_data/raw_data_250826_131038_persona977.json
697,Reads extensively about medieval European history,Does not read about medieval European history,data/raw_data/raw_data_250820_224501_persona697.json
590,Family history of type 2 diabetes on her maternal side,No family history of type 2 diabetes on her maternal side,data/raw_data/raw_data_250820_165412_persona590.json
849,Appreciates fresh flowers in living spaces,Prefers not to have fresh flowers in living spaces,data/raw_data/raw_data_250820_224501_persona849.json
583,Prays regularly in alignment with her moderate Muslim faith,Does not pray regularly and is non-religious or secular.,data/raw_data/raw_data_250820_165412_persona583.json
23,Joining local political debates,Avoiding local political debates,data/raw_data/raw_data_250815_163935_persona23.json
721,Enjoys going for morning runs,Does not enjoy going for morning runs,data/raw_data/raw_data_250820_224501_persona721.json
72,Follows Formula 1 racing,Does not follow Formula 1 racing,data/raw_data/raw_data_250815_163935_persona72.json
60,Likes visiting art exhibitions occasionally,Dislikes visiting art exhibitions.,data/raw_data/raw_data_250815_163935_persona60.json
494,Watches science documentaries,Watches science fiction movies,data/raw_data/raw_data_250819_225921_persona494.json
521,Practices yoga and meditation daily,Does not practice yoga or meditation.,data/raw_data/raw_data_250819_225921_persona521.json
978,Enjoys watching sunsets from her porch,Prefers not to watch sunsets from her porch,data/raw_data/raw_data_250826_131038_persona978.json
59,Family history of type 2 diabetes on maternal side,No family history of type 2 diabetes on maternal side,data/raw_data/raw_data_250815_163935_persona59.json
829,Loves ice fishing in winter,Hates ice fishing in winter,data/raw_data/raw_data_250820_224501_persona829.json
25,Family history of type 2 diabetes on his mother's side,No family history of type 2 diabetes on his mother's side,data/raw_data/raw_data_250815_163935_persona25.json
429,Loves contemporary art exhibitions,Dislikes contemporary art exhibitions,data/raw_data/raw_data_250818_011555_persona429.json
294,Prefers bread and pasta over rice some days,Prefers rice over bread and pasta some days,data/raw_data/raw_data_250815_163935_persona294.json
